File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors,CatchAndDoNothing_AntiPattern,CatchAndReturnNull_AntiPattern,CatchQuantity,CatchRecoverability_AntiPattern,CatchSizeLOC,CatchSizeSLOC,DummyCatch_AntiPattern,IncompleteImplementation_AntiPattern,LogAndThrow_AntiPattern,OverCatch_AntiPattern,ThrowKitchenSink_AntiPattern
ResourceSchedulerWrapper.java,2,2,2,1,12,0,11,0,13,0,4,61,61,61,27,61,0,10,1,50,951,80,808,294,441,64,350,503,236,267,22,22,22,12,5,0.08,132,132,143,78,6,1,1,6,14,0,0,6,0,6,0,6,0,0,1,1793
RestClientBindings.java,1,1,2,1,16,0,9,6,1,10,2,10,10,0,0,10,0,3,0,7,224,22,107,43,58,95,49,68,31,37,4,4,5,1,1,0.89,19,19,22,10,6,2,0,0,2,0,0,0,0,0,0,1,0,0,3,1692
RetriableCommand.java,1,1,1,1,13,0,8,5,1,0,3,4,5,5,2,5,0,0,1,4,114,14,50,24,25,50,30,38,23,15,4,4,4,4,2,1,7,7,7,7,2,3,0,0,3,0,0,1,0,2,0,8,0,0,4,1438
RetriableDirectoryCreateCommand.java,1,1,1,1,11,0,5,5,1,0,0,2,2,2,0,2,0,0,1,1,56,6,18,12,6,32,11,14,11,3,1,1,1,1,0,1.78,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,8,0,0,4,1431
RetriableFileCopyCommand.java,2,2,2,1,14,0,12,1,2,4,2,17,17,13,2,17,1,12,1,3,339,28,247,119,139,64,108,144,82,62,8,8,10,3,3,0.26,38,38,46,19,3,1,1,4,11,0,0,2,0,2,0,8,0,0,4,1431
RMDIR3Request.java,1,1,1,1,4,0,4,0,1,1,0,4,4,3,1,4,0,0,0,4,53,7,26,14,9,20,15,20,13,7,1,1,1,1,0,0.77,4,4,4,4,3,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
RMDIR3Response.java,1,1,1,1,4,0,4,0,1,1,0,5,5,4,1,5,0,0,0,5,54,7,27,13,10,20,14,20,12,8,1,1,1,1,0,0.74,5,5,5,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
RMNodeWrapper.java,1,1,1,1,3,0,3,0,1,0,0,21,21,21,3,21,1,0,0,20,156,25,114,66,27,17,44,67,42,25,2,2,2,1,1,0.15,22,22,22,21,3,7,0,4,7,0,0,0,0,0,0,6,0,0,1,1794
Roles.java,1,1,1,1,3,0,3,0,1,0,0,10,10,10,5,10,0,0,0,10,97,16,38,17,10,43,16,27,17,10,1,1,1,1,0,1.13,10,10,10,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1675
RolloverSignerSecretProvider.java,1,1,1,1,8,0,5,2,2,0,1,9,10,10,4,10,0,0,4,6,142,12,73,35,27,57,34,48,27,21,3,3,3,1,2,0.78,13,13,13,9,0,2,0,2,1,0,0,0,0,0,0,2,0,1,3,20
RootDocProcessor.java,6,6,7,4,19,0,19,0,2,5,3,9,9,4,1,9,0,6,0,3,247,19,205,54,127,23,82,141,52,89,25,25,29,23,4,0.11,55,55,65,44,0,1,0,0,6,0,0,1,0,1,0,0,0,0,0,1
RoundRobinUserResolver.java,3,3,3,1,17,0,14,3,1,1,1,5,5,4,3,5,1,1,0,3,141,12,94,42,48,37,48,65,34,31,9,9,9,4,3,0.39,15,15,15,8,0,1,1,0,5,0,0,1,0,1,0,2,0,0,0,1506
RpcAcceptedReply.java,1,1,1,1,3,0,3,0,2,4,0,10,8,6,7,10,1,0,0,9,83,11,50,26,17,28,21,29,15,14,1,1,1,1,0,0.56,10,10,10,10,0,4,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
RpcAuthInfo.java,1,1,1,1,2,0,2,0,2,1,0,8,8,9,7,10,2,0,1,7,74,12,39,20,9,23,14,24,15,9,3,3,3,3,2,0.59,10,10,10,10,0,1,0,0,2,0,0,0,0,0,0,1,0,0,5,1674
RpcCall.java,1,1,1,1,5,0,5,0,1,2,2,13,13,11,6,13,0,1,1,11,127,17,88,32,42,22,43,59,27,32,2,2,2,1,1,0.25,15,15,15,13,0,4,0,0,3,0,0,0,0,0,0,1,0,0,5,1674
RpcCallCache.java,1,1,1,1,5,0,5,0,4,0,1,16,16,16,5,16,0,0,1,15,170,23,99,38,39,49,42,67,37,30,3,3,5,3,1,0.49,20,20,22,18,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,1674
RpcDeniedReply.java,1,1,1,1,3,0,3,0,2,2,0,9,7,7,3,9,2,0,0,7,76,10,44,19,18,22,19,27,14,13,1,1,1,1,0,0.5,9,9,9,9,0,4,0,0,3,0,0,0,0,0,0,0,0,0,5,1674
RpcInfo.java,1,1,1,1,4,0,4,0,1,0,0,5,5,5,4,5,0,0,0,5,60,8,31,17,8,21,17,23,15,8,1,1,1,1,0,0.68,5,5,5,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1674
RpcMessage.java,1,1,1,1,3,0,3,0,2,1,0,8,7,8,4,9,1,0,1,7,69,9,38,14,13,22,14,24,12,12,2,2,3,1,1,0.58,11,11,13,8,0,3,0,1,3,0,0,0,0,0,0,0,0,0,5,1674
RpcProgram.java,2,2,2,1,13,0,10,2,1,1,2,12,14,13,8,14,0,1,5,8,235,23,161,74,90,52,91,117,62,55,5,5,5,4,3,0.32,27,27,28,17,4,1,4,1,12,0,0,1,0,3,0,1,0,0,5,1674
RpcProgramPortmap.java,2,2,2,1,13,0,9,3,1,0,9,10,10,10,2,10,1,5,0,4,208,23,136,76,78,49,82,105,64,41,7,7,7,1,2,0.36,22,22,22,10,0,6,1,0,2,0,0,0,0,0,0,1,0,0,5,1674
RpcReply.java,1,1,1,1,3,0,3,0,2,2,0,8,6,6,4,8,2,0,0,6,75,11,42,19,17,22,21,29,17,12,3,2,3,1,1,0.52,10,9,10,8,0,3,0,0,3,0,0,0,0,0,0,1,0,0,5,1674
RpcResponse.java,1,1,1,1,3,0,3,0,1,0,0,3,3,3,2,3,0,0,0,3,45,6,17,9,4,22,9,13,9,4,1,1,1,1,0,1.29,3,3,3,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,1674
RPCUtil.java,2.5,2.5,2.5,1.5,16.5,0.5,12,3,3,3.5,3,5.5,5.5,2,0.5,5.5,0,0.5,0.5,4.5,147.5,17,89,40,50,41.5,43.5,59.5,32.5,27,7,7,7,5.5,2,0.48,15.5,15.5,15.5,10,2,1,1,0,4,0,0,1,0,1,0,1,0,0,5,1674
RumenToSLSConverter.java,4,4,4,1,35,1,33,0,1,5,3,5,5,0,0,5,0,4,0,1,238,18,202,86,139,18,132,159,78,81,7,7,11,1,3,0.09,20,20,24,5,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,1777
S3Exception.java,1,1,1,1,3,0,3,0,1,0,1,1,1,1,0,1,0,0,0,1,39,7,12,9,2,20,6,8,7,1,1,1,1,1,0,1.67,1,1,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,57
