File, AvgCyclomatic, AvgCyclomaticModified, AvgCyclomaticStrict, AvgEssential, AvgLine, AvgLineBlank, AvgLineCode, AvgLineComment, CountDeclClass, CountDeclClassMethod, CountDeclClassVariable, CountDeclExecutableUnit, CountDeclFunction, CountDeclInstanceMethod, CountDeclInstanceVariable, CountDeclMethod, CountDeclMethodDefault, CountDeclMethodPrivate, CountDeclMethodProtected, CountDeclMethodPublic, CountLine, CountLineBlank, CountLineCode, CountLineCodeDecl, CountLineCodeExe, CountLineComment, CountSemicolon, CountStmt, CountStmtDecl, CountStmtExe, MaxCyclomatic, MaxCyclomaticModified, MaxCyclomaticStrict, MaxEssential, MaxNesting, RatioCommentToCode, SumCyclomatic, SumCyclomaticModified, SumCyclomaticStrict, SumEssential,ChangeMetrics,ChurnMetrics,PreReleaseDefects,post_release_bugs,Authors
TestClientServiceDelegate.java,1,1,1,1,17,1,15,0,3,1,0,27,27,26,3,27,2,10,0,15,584,72,472,184,338,43,263,303,148,155,3,3,3,1,2,0.09,39,39,39,27,44,2,4,2,29
TestClientToAMTokens.java,1,1,1,1,15,1,13,0,13,0,1,30,31,31,6,31,0,5,7,19,530,77,411,190,236,42,221,258,153,105,2,2,2,1,1,0.1,36,36,36,30,3,1,1,2,14
TestClock.java,1,1,1,1,7,1,6,0,1,0,0,1,1,1,0,1,0,0,0,1,38,5,12,9,4,21,7,9,8,1,1,1,1,1,0,1.75,1,1,1,1,0,1,0,0,1
TestClose.java,3,3,3,1,28,3,22,3,1,0,0,1,1,1,0,1,0,0,0,1,64,9,35,19,17,20,21,26,17,9,3,3,3,1,2,0.57,3,3,3,1,0,1,1,1,1
TestClusterCLI.java,1,1,1,1,20,1,19,0,1,0,0,5,5,5,4,5,0,0,0,5,158,19,121,53,81,18,95,101,44,57,1,1,1,1,0,0.15,5,5,5,5,158,1,0,0,1
TestClusterId.java,2,2,2,1,22,3,13,6,1,0,1,16,16,16,2,16,0,1,0,15,449,70,266,120,163,113,166,201,101,100,3,3,4,1,1,0.42,34,34,43,16,0,1,0,1,14
TestClusterMapReduceTestCase.java,1,1,1,1,17,3,14,0,1,0,0,5,5,5,0,5,0,0,0,5,125,24,84,32,57,17,64,73,31,42,4,4,4,1,2,0.2,8,8,8,5,0,1,0,0,5
TestClusterMetrics.java,1,1,1,1,8,0,6,1,1,0,0,3,3,3,1,3,0,0,0,3,60,7,33,16,13,20,20,25,13,12,2,2,2,1,1,0.61,4,4,4,3,60,1,0,0,1
TestClusterMRNotification.java,1,1,1,1,3,0,3,0,1,0,0,1,1,1,0,1,0,0,0,1,32,5,7,4,1,20,3,5,4,1,1,1,1,1,0,2.86,1,1,1,1,0,1,0,0,5
TestClusterStatus.java,1,1,1,1,4,0,4,0,1,0,0,2,2,2,1,2,0,0,0,2,41,6,18,11,5,17,7,10,7,3,1,1,1,1,0,0.94,2,2,2,2,0,1,0,0,7
TestClusterTopology.java,1,1,1,1,6,0,6,0,2,0,0,10,10,10,4,10,0,1,0,9,122,16,81,35,40,25,39,51,27,24,1,1,1,1,0,0.31,10,10,10,10,0,1,0,3,1
TestCodec.java,2,2,2,1,21,1,18,1,1,8,1,38,38,30,3,38,1,10,0,27,954,99,772,323,542,86,502,591,276,315,6,6,6,5,3,0.11,84,84,85,46,0,2,7,1,27
TestCodecFactory.java,1,1,1,1,11,0,9,0,6,3,0,18,18,15,1,18,0,2,0,16,273,39,211,60,131,23,133,158,39,119,2,2,2,1,1,0.11,19,19,19,18,3,1,0,0,12
TestCodecPool.java,1,1,1,1,14,1,12,0,5,0,0,11,11,11,2,11,0,0,0,11,192,28,143,58,92,21,88,108,54,54,3,3,3,1,1,0.15,17,17,17,11,47,3,1,0,3
TestCollect.java,1,1,1,1,9,0,8,0,4,1,5,11,11,10,1,11,0,0,0,11,152,23,99,39,46,34,50,73,36,37,4,4,4,1,2,0.34,19,19,19,11,0,1,0,0,5
TestCombineFileInputFormat.java,1.5,1.5,1.5,1,24,1,20.5,2.5,4.5,2.5,7,17.5,17.5,15,6.5,17.5,1,1.5,0.5,14.5,756.5,66,605.5,167.5,482,104.5,471,533,163,370,8,8,8,1,1,0.27,44,44,44,17.5,36,1,3,2,23
TestCombineFileRecordReader.java,1,1,1,1,18,1,17,0,2,0,1,2,2,2,0,2,0,0,0,2,92,13.5,60.5,40.5,28,18,42.5,48.5,34.5,14,2,2,2,1,2,0.3,3,3,3,2,0,1,0,0,2
TestCombineOutputCollector.java,1,1,1,1,6,0,4,0,2,0,0,13,13,13,3,13,0,0,0,13,146,27,95,31,55,24,51,67,40,27,3,3,3,1,1,0.25,15,15,15,13,0,1,0,0,7
TestCombineSequenceFileInputFormat.java,2,2,2,1,20,1.5,17,1,2,2,4,5,5,3,2,5,1,2,0,2,178,23.5,130.5,72.5,72.5,25,85.5,100.5,63,37.5,4,4,4,1,3,0.19,12,12,12,5,0,2,0,0,3
TestCombineTextInputFormat.java,2,2,2,1,18.5,1,16.5,0.5,2,5,4.5,9,9,4,2,9,1,5,0,3,258.5,28,204.5,101.5,121.5,27,134,159.5,89.5,70,4,4,4,1,3.5,0.135,22.5,22.5,22.5,9,0,2,0,0,2
TestCommandFactory.java,1,1,1,1,8,1,7,0,5,2,2,5,5,3,0,5,1,0,0,4,87,16,54,22,27,17,34,44,19,25,1,1,1,1,0,0.31,5,5,5,5,0,1,0,0,4
TestCommandFormat.java,1,1,1,1,10,0,9,0,1,3,3,14,14,11,0,14,0,3,0,11,210,29,159,54,91,22,104,121,41,80,3,3,3,1,1,0.14,16,16,16,14,0,1,1,0,5
TestCommandLineJobSubmission.java,3,3,3,1,48,3,40,4,1,0,2,2,2,2,1,2,0,1,0,1,147,12,101,43,79,34,81,87,40,47,4,4,4,1,2,0.34,6,6,6,2,0,1,0,0,5
TestCommitBlockSynchronization.java,1,1,1,1,21,2,17,1,1,0,3,7,7,7,0,7,0,2,0,5,207,32,143,71,103,32,91,101,61,40,2,2,2,1,1,0.22,9,9,9,7,21,1,3,3,13
TestCommitterEventHandler.java,1,1,2,1,17,1,15,0,4,1,1,12,12,11,4,12,0,0,0,12,330,47,260,140,154,23,175,201,115,86,4,4,7,1,2,0.09,20,20,24,12,0,7,0,0,0
TestCommonNodeLabelsManager.java,2,2,2,1,31,2,25,2,1,0,0,15,15,15,1,15,0,1,0,14,539,63,420,65,331,56,220,257,47,210,9,9,9,1,2,0.13,35,35,35,15,275,7,0,3,7
TestCommonViews.java,1,1,1,1,3,0,3,0,1,0,0,5,5,5,0,5,0,0,0,5,56,11,28,19,6,17,16,22,19,3,1,1,1,1,0,0.61,5,5,5,5,0,1,0,0,3
TestComparators.java,1,1,1,1,7,0,6,1,12,0,2,38,38,38,8,38,0,0,0,38,497,57,330,146,158,111,153,226,113,113,5,5,5,3,2,0.34,61,61,61,40,0,1,0,0,6
